request_id,theme_code,source_department,source_contact_role,source_location,source_type,source_description,expected_content,acquisition_method,priority,due_date,owner_placeholder,status,notes
REQ-B1-001,LIFE-01,后勤管理处,能源管理科负责人,后勤楼/财务处,部门网站+纸质文件,电费缴纳系统操作说明,电费缴纳渠道（APP/公众号/现金）、余额查询、断电预警规则、充值发票开具,官网爬取+部门对接,P0-紧急,2025-04-15,后勤对接人-待指定,pending,需确认泰安/济南校区是否统一平台
REQ-B1-002,LIFE-02,后勤管理处,维修服务中心负责人,后勤楼,部门网站+纸质文件,宿舍报修系统/流程说明,报修渠道（APP/电话/现场）、各类维修响应时限、紧急报修定义、进度查询方式,官网爬取+部门对接,P0-紧急,2025-04-15,后勤对接人-待指定,pending,需区分宿舍内设施与公共部位报修流程差异
REQ-B1-003,LIFE-03,后勤管理处,宿舍管理科负责人,后勤楼,部门网站+纸质文件,热水供应与饮用水管理规范,热水供应时间（分季节）、饮用水获取点分布、水卡办理与充值,官网爬取+部门对接,P0-紧急,2025-04-15,后勤对接人-待指定,pending,泰安校区锅炉房改造后新流程需确认
REQ-B1-004,LIFE-04,信息中心/财务处,校园卡中心负责人,校园卡服务大厅,部门网站+系统截图,校园卡全流程使用指南,充值方式（线上线下）、挂失解挂、消费明细查询、密码修改、领卡退卡,官网爬取+系统截图,P0-紧急,2025-04-10,信息中心对接人-待指定,pending,已有补卡指南，需补充其他环节形成闭环
REQ-B1-005,LIFE-05,信息中心,系统管理员,信息中心,部门网站+系统说明,一卡通系统功能说明,一卡通定义与功能、与校园卡关系、圈存转账操作、跨校区通用规则,官网爬取+部门对接,P0-紧急,2025-04-10,信息中心对接人-待指定,pending,"一卡通"概念易混淆，需官方明确界定
REQ-B1-006,LIFE-06,信息中心,网络中心负责人,信息中心,部门网站+配置指南,校园网络服务指南,校园网接入方式（有线/无线）、账号注册激活、VPN使用、常见故障排查,官网爬取+配置指南,P0-紧急,2025-04-10,信息中心对接人-待指定,pending,需分校区整理网络接入差异
REQ-B1-007,LIFE-07,学生工作部,宿舍管理科负责人,学工楼,制度文件+通知汇编,学生宿舍管理规定,宿舍分配原则、调宿退宿流程、用电功率限制、访客登记制度、晚归管理办法,制度汇编+部门对接,P0-紧急,2025-04-15,学工部对接人-待指定,pending,需获取最新版宿舍管理规定的正式文件
REQ-B1-008,"LIFE-01,LIFE-03",财务处,收费科负责人,财务处,系统截图+操作手册,线上缴费平台操作说明,统一支付平台电费/水费缴纳入口、支付方式、电子发票下载,系统截图+操作手册,P1-重要,2025-04-20,财务处对接人-待指定,pending,可复用已有缴费平台材料
REQ-B1-009,"LIFE-04,LIFE-05",第三方服务商,校园卡系统供应商,服务商提供,系统操作手册,校园卡系统学生端操作手册,如存在第三方系统（如新开普/正元智慧），获取官方学生操作手册,供应商文档,P1-重要,2025-04-20,信息中心对接人-待指定,pending,需确认是否为自研系统或外购系统
REQ-B1-010,LIFE-06,图书馆/信息中心,电子资源负责人,图书馆,网站帮助页面,校外访问电子资源指南,图书馆VPN/校外访问系统使用、知网校外入口等,官网帮助页面,P2-补充,2025-04-30,图书馆对接人-待指定,pending,网络服务细分场景，优先级次于基础网络接入
