kb_id,material_id,source_batch,reason,ready_for_ingest
RULE-A1-010,MAT-20260324-0039,BATCH-A1,规则条目重复（与RULE-A1-011内容重复但非P0）,TRUE
RULE-A1-011,MAT-20260324-0040,BATCH-A1,规则条目重复（与RULE-A1-010内容重复但非P0）,TRUE
RULE-A1-015,,BATCH-A1,规则条目重复（与RULE-A1-016/024/027内容重复但非P0）,TRUE
RULE-A1-016,,BATCH-A1,规则条目重复（与RULE-A1-015/024/027内容重复但非P0）,TRUE
RULE-A1-023,,BATCH-A1,规则条目重复（与RULE-A1-026内容重复但非P0）,TRUE
RULE-A1-024,,BATCH-A1,规则条目重复（与RULE-A1-015/016/027内容重复但非P0）,TRUE
RULE-A1-026,,BATCH-A1,规则条目重复（与RULE-A1-023内容重复但非P0）,TRUE
RULE-A1-027,,BATCH-A1,规则条目重复（与RULE-A1-015/016/024内容重复但非P0）,TRUE
RULE-A1-028,,BATCH-A1,规则条目重复（与RULE-A1-029内容重复但非P0）,TRUE
RULE-A1-029,,BATCH-A1,规则条目重复（与RULE-A1-028内容重复但非P0）,TRUE
RULE-A1-002,MAT-20260324-0031,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
RULE-A1-004,MAT-20260324-0033,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
RULE-A1-007,MAT-20260324-0036,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
RULE-A1-009,MAT-20260324-0038,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
RULE-A1-012,MAT-20260324-0041,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
RULE-A1-014,MAT-20260324-0043,BATCH-A1,证据状态不完整（非P0且非指定类型）,TRUE
KB-20260324-0070,MAT-20260324-0114,BATCH-A2,时效性待确认（过期材料，P2-提示非P0）,TRUE
RULE-A1-003,MAT-20260324-0032,BATCH-A1,时效性待确认（非P0且非指定类型）,TRUE
RULE-A1-005,MAT-20260324-0034,BATCH-A1,时效性待确认（非P0且非指定类型）,TRUE
P2-REX-0003,MAT-20260324-0030,BATCH-A1,模板类材料（P2-提示非P0）,TRUE
P2-REX-0004,MAT-20260324-0031,BATCH-A1,模板类材料（P2-提示非P0）,TRUE
P2-REX-0005,MAT-20260324-0032,BATCH-A1,模板类材料（P2-提示非P0）,TRUE
P2-REX-0006,MAT-20260324-0033,BATCH-A1,模板类材料（P2-提示非P0）,TRUE
P1-REX-0005,MAT-20260323-0019,BATCH-A1,待人工复核（非P0且非指定类型）,TRUE
P2-REX-0018,MAT-20260324-0051,BATCH-A3,待人工复核（非P0且非指定类型）,TRUE
P2-REX-0019,MAT-20260324-0054,BATCH-A3,待人工复核（非P0且非指定类型）,TRUE
