kb_id,material_id,source_batch,issue_type,severity,required_action
KB-20260324-0061,MAT-20260324-0024,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0062,MAT-20260324-0025,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0063,MAT-20260324-0026,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0064,MAT-20260324-0027,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0065,MAT-20260324-0028,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0066,MAT-20260324-0029,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0067,MAT-20260324-0055,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0068,MAT-20260324-CAND-001,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0069,MAT-20260324-CAND-002,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0070,MAT-20260324-CAND-003,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0071,MAT-20260324-CAND-004,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0072,MAT-20260324-CAND-005,BATCH-A1,KB编号冲突,P0-严重,建议A2/A3重新编号为KB-0082起
KB-20260324-0073,MAT-20260324-0119,BATCH-A2,KB编号冲突,P0-严重,建议A3重新编号为KB-0082起
KB-20260324-0074,MAT-20260324-0120,BATCH-A2,KB编号冲突,P0-严重,建议A3重新编号为KB-0082起
KB-20260324-0075,MAT-20260324-0121,BATCH-A2,KB编号冲突,P0-严重,建议A3重新编号为KB-0082起
KB-20260324-0076,MAT-20260324-0122,BATCH-A2,KB编号冲突,P0-严重,建议合并0076/0077或标记版本关系
KB-20260324-0077,MAT-20260324-0123,BATCH-A2,KB编号冲突,P0-严重,建议合并0076/0077或标记版本关系
KB-20260324-0078,MAT-20260324-0124,BATCH-A2,KB编号冲突,P0-严重,建议A3重新编号为KB-0082起
KB-20260324-0079,MAT-20260324-0125,BATCH-A2,KB编号冲突,P0-严重,建议A3重新编号为KB-0082起
KB-20260324-0080,MAT-20260324-0126,BATCH-A2,KB编号冲突,P0-严重,确认A3未使用，可保留
KB-20260324-0081,MAT-20260324-0127,BATCH-A2,KB编号冲突,P0-严重,确认A3未使用，可保留
KB-20260324-0071,MAT-20260324-0061,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0072,MAT-CP-001,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0073,MAT-CP-002,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0074,MAT-CP-003,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0075,MAT-CP-004,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0076,MAT-CP-005,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0077,MAT-CP-006,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0078,MAT-CP-007,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0079,MAT-CP-008,BATCH-A3,源文件缺失,P1-告警,需补充源文件后完善
KB-20260324-0076,MAT-20260324-0122,BATCH-A2,版本冲突,P1-告警,建议确认保留最新版本或合并
KB-20260324-0077,MAT-20260324-0123,BATCH-A2,版本冲突,P1-告警,建议确认保留最新版本或合并
KB-20260324-0080,MAT-20260324-0126,BATCH-A2,版本冲突,P1-告警,建议确认是否合并或区分
KB-20260324-0081,MAT-20260324-0127,BATCH-A2,版本冲突,P1-告警,建议确认是否合并或区分
