material_id,candidate_question,knowledge_category,audience,priority,source_path
MAT-20260323-0001,新生入学后学籍注册与信息核对的标准流程是什么？,入学与学籍,全体学生,P0,数据库部分材料/数据库部分材料/学生手册.md
MAT-20260323-0001,学生申请奖助学金时需要满足哪些条件并准备哪些材料？,奖助贷补,全体学生,P0,数据库部分材料/数据库部分材料/学生手册.md
MAT-20260323-0001,心理测评的参与对象、时间节点和异常处理方式是什么？,心理与测评,全体学生,P1,数据库部分材料/数据库部分材料/学生手册.md
MAT-20260323-0001,校园卡或学生证补办的办理渠道、时限和注意事项是什么？,证件与校园服务,全体学生,P1,数据库部分材料/数据库部分材料/学生手册.md
MAT-20260323-0001,第二课堂成绩单相关认定、录入与查询规则有哪些？,竞赛与第二课堂,全体学生,P1,数据库部分材料/数据库部分材料/学生手册.md
MAT-20260323-0002,新生如何核对教育在线中的学籍信息与班级实际情况？,入学与学籍,新生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件1：教育在线学生信息与班级实际情况核对方法.doc
MAT-20260323-0003,学信网学籍注册信息应如何核对，常见错误怎么处理？,入学与学籍,新生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025年学籍注册/附件5：学信网学籍注册信息核对方法指南.doc
MAT-20260323-0004,2025级新生入学资格复查要准备什么、按什么流程办理？,入学与学籍,新生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.10 2025级新生入学资格复查/通知.docx
MAT-20260323-0005,家庭经济困难认定与助学金评审的时间和条件是什么？,奖助贷补,新生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/通知.docx
MAT-20260323-0006,助学金评审在一网通办系统里如何操作？,奖助贷补,学生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx
MAT-20260323-0008,秋季学期勤工助学岗位申报有哪些流程和节点？,奖助贷补,全体学生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/9.11 2025年秋季学期勤工助学通知/202503勤工助学岗位申报通知0905.docx
MAT-20260323-0009,新生心理健康测评的时间安排和测评要求是什么？,心理与测评,新生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/1.【通知】2025年中国大学生心理健康测评系统测评工作通知.pdf
MAT-20260323-0010,学生端心理测评系统从登录到提交应如何操作？,心理与测评,学生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/3.【学生】中国大学生心理健康测评系统操作手册.pdf
MAT-20260323-0011,心理测评平台常见问题有哪些、分别如何解决？,心理与测评,学生,P0,数据库部分材料/数据库部分材料/2025年工作/2025下-25级新生工作/2025级心理测评/2025年新生心理测评材料/4.心理测评平台常见问题.pdf
MAT-20260323-0012,校园卡丢失后如何补卡、多久可以恢复使用？,证件与校园服务,全体学生,P0,数据库部分材料/数据库部分材料/模板/校园卡补卡指南.pdf
MAT-20260323-0013,第二课堂成绩单实施办法中的学分与认定规则是什么？,竞赛与第二课堂,全体学生,P0,数据库部分材料/数据库部分材料/模板/山东第一医科大学（山东省医学科学院）“第二课堂成绩单”实施办法.pdf
MAT-20260323-0014,第二课堂录入流程中学生端和管理员端分别怎么操作？,竞赛与第二课堂,学生,P0,数据库部分材料/数据库部分材料/模板/第二课堂激活/第二课堂录入操作流程.docx
MAT-20260323-0015,毕业离校手续有哪些环节，办理顺序是什么？,就业与毕业,毕业生,P0,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/2025届毕业离校通知.docx
MAT-20260323-0018,毕业证和学位证代领需要满足哪些条件并提交哪些材料？,就业与毕业,毕业生,P1,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/毕业证和学位证代领委托书.docx
MAT-20260323-0019,毕业生应征入伍可享受哪些政策，办理路径是什么？,就业与毕业,毕业生,P1,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/征兵政策/毕业生应征入伍政策解读.pdf
MAT-20260323-0020,毕业生档案去向核对应注意哪些信息和时间节点？,就业与毕业,毕业生,P0,数据库部分材料/数据库部分材料/2025年工作/2025上-21级毕业工作/档案去向核对/档案信息核对确认 注意事项.docx
MAT-20260323-0021,助学金评审通知模板中哪些规则可沉淀为通用知识？,奖助贷补,全体学生,P2,数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/通知.docx
MAT-20260323-0022,一网通办助学金申请模板中的关键填写规则有哪些？,奖助贷补,学生,P2,数据库部分材料/数据库部分材料/模板/奖学金、助学金通知/2025秋家庭经济困难认定+助学金评审/助学金评审一网通办操作说明.docx
