entry_id,title,material_id,page_start(mineru_logical),page_end(mineru_logical),match_score,match_snippet,match_failed
KB-0150-电费缴纳指南,电费缴纳指南,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0151-宿舍报修流程,宿舍报修流程,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0152-校园卡办理与使用,校园卡办理与使用指南,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0153-水电管理与节约,水电管理与节约要求,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0154-学生公寓管理规定,学生公寓管理规定,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0155-请假销假制度,学生请假销假制度,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0156-奖学金评定指南,奖学金评定指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0157-学生纪律处分规定,学生纪律处分规定,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0158-图书馆使用指南,图书馆使用指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0159-学籍管理规定,学籍管理规定,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0160-校园交通安全管理,校园交通安全管理,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0161-勤工助学指南,勤工助学指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0162-困难认定与助学金申请,困难认定与助学金申请指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0163-助学贷款指南,助学贷款指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0164-学费缴纳指南,学费缴纳指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0165-考试纪律与违纪处理,考试纪律与违纪处理,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0166-校外住宿管理规定,校外住宿管理规定,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0167-心理健康教育与咨询,心理健康教育与咨询服务,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0168-出国留学指南,出国留学指南,医小管知识库二次修改版,0,0,0.00,[无匹配],True
KB-0169-学生证件管理,学生证件管理,医小管知识库二次修改版,43,43,0.42,提交县级学生资助管理机构。,False
KB-0170-食堂就餐公约,食堂就餐公约,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-0171-绿色通道与学费减免,绿色通道与学费减免,学生手册-生活服务,0,0,0.00,[无匹配],True
KB-20260324-0138,校园卡补办流程,HANDBOOK-2026-001,52,52,0.95,规定者，只发给学习证明。 第四十一条 对受开除学籍处分的学生，不发学历证书，只发学习证明。对违反国家招生规定取得入学资格或者学籍的学生，学校取消其学籍，不予颁发学历证书、学位证书；已发放的学历证书、学,False
KB-20260324-0139,学生证补办流程,HANDBOOK-2026-001,3,64,0.95,8.10学费减免 44  8.11 入团入党 45 8.16中国大学生心理健康测评系统学生登录入口 63 8.17学生证补办流程 64 10.1 财政部 66 10.2 心理健康教育中心 68 10.,False
KB-20260324-0140,学费住宿费缴费流程,HANDBOOK-2026-001,0,0,0.00,[无匹配],True
KB-20260324-0141,银行卡使用说明,HANDBOOK-2026-001,67,67,0.95,成缴费后直接生成缴费申子票据（详见校园统一支付平台使用说明），可自行打印。 5. 费用说明： 公共事业管理（含地方专项计划）：学制4年，最低修读学分165分，学分学费标准100元学分，专业注册学费13,False
KB-20260324-0142,心理咨询预约方式,HANDBOOK-2026-001,0,0,0.00,[无匹配],True
KB-20260324-0143,图书馆座位预约规则,HANDBOOK-2026-001,90,90,0.52,10.4.12 座位预约规则：,False
KB-20260324-0144,图书借阅规则,HANDBOOK-2026-001,88,88,0.95,读者因调动、毕业或其它原因离校时，根据其离校的时间，停止其借阅证件的使用。 10.4.7 图书借阅规则： 1. 借阅权限:教学人员 : 10 册/人; 研究生 : 8 册/人; 学生 (已获得学籍的本,False
KB-20260324-0145,勤工助学岗位申请指南,HANDBOOK-2026-001,0,0,0.00,[无匹配],True
KB-20260324-0146,家庭经济困难认定申请流程,HANDBOOK-2026-001,0,0,0.00,[无匹配],True
KB-20260324-0147,基层就业毕业生学费补偿与助学贷款代偿,HANDBOOK-2026-001,0,0,0.00,[无匹配],True
KB-20260324-0148,学校各职能部门咨询电话,HANDBOOK-2026-001,64,64,0.95,打开微信，搜索小程序“荔枝心理测评”点击进入或扫描“荔枝心理测评”小程序二维码： 8.16.2 PC端  在浏览器地址栏输入 https://xinli.univs.cn，建议使用谷歌、火狐、Edge,False
KB-20260324-0149,心理测评参与方式,HANDBOOK-2026-002,0,0,0.00,[无匹配],True
